id,key,name,synonyms,code,born_at,city_id,state_id,country_id,nationality_id,created_at,updated_at
411,alexissanchez,Alexis Sánchez,,,,,,,,2018-07-17 10:57:16.499611,2018-07-17 10:57:16.499611
412,jorgevaldivia,Jorge Valdívia,,,,,,,,2018-07-17 10:57:16.502443,2018-07-17 10:57:16.502443
413,cahill,Cahill,,,,,,,,2018-07-17 10:57:16.505371,2018-07-17 10:57:16.505371
414,jeanbeausejour,Jean Beausejour,,,,,,,,2018-07-17 10:57:16.508127,2018-07-17 10:57:16.508127
415,eduardovargas,Eduardo Vargas,,,,,,,,2018-07-17 10:57:16.521684,2018-07-17 10:57:16.521684
416,charlesaranguiz,Charles Aránguiz,,,,,,,,2018-07-17 10:57:16.525334,2018-07-17 10:57:16.525334
417,timcahill,Tim Cahill,,,,,,,,2018-07-17 10:57:16.538759,2018-07-17 10:57:16.538759
418,milejedinak,Mile Jedinak,,,,,,,,2018-07-17 10:57:16.541542,2018-07-17 10:57:16.541542
419,memphisdepay,Memphis Depay,,,,,,,,2018-07-17 10:57:16.545670,2018-07-17 10:57:16.545670
420,davidvilla,David Villa,,,,,,,,2018-07-17 10:57:16.560474,2018-07-17 10:57:16.560474
421,fernandotorres,Fernando Torres,,,,,,,,2018-07-17 10:57:16.563408,2018-07-17 10:57:16.563408
422,juanmata,Juan Mata,,,,,,,,2018-07-17 10:57:16.566347,2018-07-17 10:57:16.566347
423,leroyfer,Leroy Fer,,,,,,,,2018-07-17 10:57:16.576821,2018-07-17 10:57:16.576821
424,pabloarmero,Pablo Armero,,,,,,,,2018-07-17 10:57:16.593337,2018-07-17 10:57:16.593337
425,teofilogutierrez,Teofilo Gutiérrez,,,,,,,,2018-07-17 10:57:16.596249,2018-07-17 10:57:16.596249
426,jamesrodriguez,James Rodríguez,,,,,,,,2018-07-17 10:57:16.599193,2018-07-17 10:57:16.599193
427,keisukehonda,Keisuke Honda,,,,,,,,2018-07-17 10:57:16.610062,2018-07-17 10:57:16.610062
428,wilfriedbony,Wilfried Bony,,,,,,,,2018-07-17 10:57:16.615079,2018-07-17 10:57:16.615079
429,gervinho,Gervinho,,,,,,,,2018-07-17 10:57:16.620138,2018-07-17 10:57:16.620138
430,juanquintero,Juan Quintero,,,,,,,,2018-07-17 10:57:16.633449,2018-07-17 10:57:16.633449
431,juancuadrado,Juan Cuadrado,,,,,,,,2018-07-17 10:57:16.656228,2018-07-17 10:57:16.656228
432,shinjiokazaki,Shinji Okazaki,,,,,,,,2018-07-17 10:57:16.659221,2018-07-17 10:57:16.659221
433,jacksonmartinez,Jackson Martínez,,,,,,,,2018-07-17 10:57:16.662136,2018-07-17 10:57:16.662136
